nav_id,lon,lat,order
0,-80.1150898,26.7877536,0
621,-80.09185143851775,26.784977716053774,1
624,-80.09194338470961,26.78497830550754,2
623,-80.091944041449,26.78489578393001,3
622,-80.09185209532362,26.784895194478352,4
613,-80.09186017861492,26.784752116060314,5
616,-80.09195212462521,26.784752705503827,6
615,-80.09195278135186,26.78467018392347,7
614,-80.09186083540804,26.784669594482068,8
617,-80.09187131875633,26.784422376069323,9
620,-80.09196326450123,26.784422965498916,10
619,-80.09196392121044,26.784340443914463,11
618,-80.09187197553202,26.78433985448697,12
633,-80.09189232909425,26.783629796089055,13
636,-80.09198427420107,26.78363038548892,14
635,-80.09198493087253,26.783547863894754,15
634,-80.09189298583217,26.783547274496982,16
629,-80.09190682924937,26.783269976099664,17
632,-80.09199877406667,26.78327056548282,18
631,-80.0919994307174,26.78318804388413,19
630,-80.09190748596659,26.783187454503075,20
2348,-80.1128582770812,26.782019623155634,21
2324,-80.11293667710827,26.782020373181943,22
2351,-80.1129502214201,26.782020198916193,23
2327,-80.11302862144973,26.782020948891645,24
2326,-80.11302926285852,26.781938426801876,25
2350,-80.11295086288557,26.781937676828182,26
2325,-80.11293731858352,26.78193785109423,27
2349,-80.11285891861313,26.781937101069673,28
2280,-80.11314585717851,26.782027023252052,29
2281,-80.11314649850269,26.78194450115974,30
2282,-80.11323844278826,26.78194507673176,31
2283,-80.11323780153054,26.78202759882613,32
2448,-80.11334145724597,26.782028993317684,33
2451,-80.11343340160447,26.782029568764855,34
2276,-80.11343190727688,26.782030593348026,35
2450,-80.1134340427208,26.781947046666133,36
2277,-80.11343254839431,26.78194807124935,37
2449,-80.11334209842876,26.78194647122101,38
2278,-80.1135244926899,26.781948646635797,39
2279,-80.11352385163892,26.78203116873653,40
1046,-80.11303606365666,26.783859326829816,41
1045,-80.11294411783386,26.783858751088506,42
1044,-80.11294347631011,26.78394127315399,43
1047,-80.11303542219939,26.783941848897356,44
1803,-80.11532331645698,26.785582473927114,45
1825,-80.11532003647285,26.785541623926655,46
1804,-80.11532395630526,26.785499951827525,47
1826,-80.11532067632238,26.785459101826664,48
1827,-80.11541262349391,26.78545967605716,49
1805,-80.11541590350978,26.7855005260567,50
1828,-80.11541198371087,26.7855421981592,51
1806,-80.115415263728,26.78558304815834,52
1043,-80.11509224350434,26.785318708258483,53
1042,-80.11509288351242,26.78523618616098,54
1041,-80.11500093652892,26.785235611727373,55
1040,-80.11500029645438,26.78531813382283,56
2727,-80.11537500710132,26.784079643968088,57
2730,-80.11546695316268,26.784080218136044,58
2729,-80.11546759286544,26.783997696015742,59
2728,-80.11537564687055,26.783997121849826,60
2651,-80.11539699734739,26.783507583984452,61
2654,-80.11548894294839,26.783508158126832,62
2653,-80.11548958261936,26.783425635999365,63
2652,-80.11539763708485,26.783425061859038,64
2639,-80.11542070759795,26.782926164001537,65
2642,-80.11551265273107,26.782926738117034,66
2641,-80.1155132923688,26.782844215982273,67
2640,-80.11542134730215,26.78284364186882,68
2647,-80.11545147790265,26.782220744022954,69
2650,-80.1155434224682,26.782221318104533,70
2649,-80.11554406206413,26.782138795960865,71
2648,-80.11545211756504,26.782138221881336,72
2643,-80.11547956820745,26.781512814043506,73
2646,-80.11557151220336,26.781513388092858,74
2645,-80.11557215175934,26.78143086594032,75
2644,-80.11548020782989,26.78143029189301,76
2663,-80.11550176849296,26.78084615406143,77
2666,-80.11559371195236,26.780846728083194,78
2665,-80.1155943514738,26.780764205922388,79
2664,-80.11550240808089,26.78076363190267,80
2655,-80.11553246877713,26.780189864082043,81
2658,-80.11562441170858,26.780190438070914,82
2657,-80.11562505118965,26.780107915901777,83
2656,-80.11553310832466,26.78010734191495,84
2723,-80.11562181900342,26.779721594119383,85
2726,-80.11571376155987,26.77972216804102,86
2725,-80.11571440096336,26.77963964586443,87
2724,-80.11562245847337,26.77963907194485,88
2722,-80.11565812144514,26.779480658057466,89
2721,-80.11565876088216,26.779398135879312,90
2720,-80.11556681858809,26.779397561928395,91
2719,-80.11556617908461,26.7794800841045,92
2659,-80.11559965939486,26.778763494127,93
2662,-80.11569160117897,26.77876406804407,94
2661,-80.11569224057193,26.778681545856816,95
2660,-80.11560029885426,26.778680971941792,96
2671,-80.11563149970117,26.77805492414881,97
2674,-80.11572344091533,26.77805549803122,98
2673,-80.11572408026562,26.777972975835006,99
2672,-80.11563213911792,26.777972401954646,100
2287,-80.11517182075606,26.778176398204522,101
2286,-80.11517246050852,26.778093876022037,102
2285,-80.11508051927716,26.77809330178134,103
2284,-80.11507987945824,26.77817582396178,104
2291,-80.1149608106754,26.778171858270618,105
2290,-80.11496145058028,26.778089336092794,106
2289,-80.11486950935783,26.77808876171526,107
2288,-80.1148688693865,26.77817128389104,108
2295,-80.1147614006022,26.7781753883331,109
2315,-80.11468030056979,26.778170018358484,110
2292,-80.11466945931542,26.77817481382405,111
2312,-80.11458835928936,26.778169443796916,112
2313,-80.11458899946344,26.778086921627388,113
2293,-80.11467009943104,26.778092291652776,114
2314,-80.11468094067743,26.7780874961869,115
2294,-80.11476204065136,26.77809286615978,116
2298,-80.11427640081243,26.77807266632245,117
2299,-80.11427576041275,26.778155188485158,118
2296,-80.11418381915433,26.778154613661382,119
2297,-80.11418445962046,26.77807209150072,120
2302,-80.11387433094852,26.77806246645723,121
2303,-80.11387369025844,26.77814498861106,122
2300,-80.11378174901826,26.778144413526583,123
2301,-80.1137823897748,26.778061891374797,124
2306,-80.11350807107047,26.778048376579942,125
2307,-80.11350743011597,26.77813089872574,126
2304,-80.1134154888963,26.778130323403868,127
2305,-80.11341612991723,26.778047801260115,128
2310,-80.11317539117854,26.778029066691303,129
2311,-80.11317474998408,26.778111588829884,130
2308,-80.11308280878822,26.77811101329252,131
2309,-80.11308345004915,26.77802849115599,132
2318,-80.11287756127973,26.778022436791165,133
2319,-80.11287691987013,26.77810495892315,134
2316,-80.11278497868703,26.778104383192655,135
2317,-80.1127856201631,26.778021861062726,136
2426,-80.1126618813519,26.778014956863434,137
2427,-80.11266123978656,26.778097478990677,138
2424,-80.1125692986149,26.778096903120375,139
2425,-80.11256994024667,26.778014380995184,140
2358,-80.11230183147404,26.778006556984156,141
2359,-80.11230118964866,26.77808907910343,142
2356,-80.11220924849275,26.77808850299966,143
2357,-80.11220989038459,26.778005980882437,144
2422,-80.11195018159276,26.777996957102044,145
2423,-80.1119495395134,26.778079479213538,146
2420,-80.111857598374,26.778078902881777,147
2375,-80.11178002944698,26.778071679266606,148
2374,-80.11178067164867,26.777989157158817,149
2421,-80.11185824051981,26.777996380772322,150
2373,-80.11168873058625,26.777988580719267,151
2372,-80.1116880883181,26.778071102825006,152
2419,-80.11137661929287,26.77806333939294,153
2418,-80.11137726178599,26.7779808172941,154
2417,-80.11128532074036,26.777980240592935,155
2416,-80.11128467818078,26.77806276268972,156
2383,-80.11092863911725,26.778042539533168,157
2382,-80.11092928193364,26.77796001744414,158
2381,-80.11083734091596,26.7779594404527,159
2380,-80.11083669803311,26.778041962539678,160
2411,-80.11013609881302,26.778022399781328,161
2410,-80.11013674220185,26.777939877709862,162
2409,-80.11004480122023,26.777939300204544,163
2408,-80.11004415776495,26.778021822273953,164
2414,-80.11006601234223,26.778217557737985,165
2415,-80.11006536889452,26.778300079804627,166
2412,-80.10997342762455,26.77829950224583,167
2413,-80.10997407113871,26.77821698018125,168
2407,-80.10978153867407,26.77800611989232,169
2406,-80.10978218231878,26.77792359782863,170
2405,-80.10969024135915,26.777923020093564,171
2404,-80.10968959764799,26.778005542155192,172
2387,-80.10934100850534,26.77799590003025,173
2386,-80.10934165246825,26.777913377976347,174
2385,-80.10924971152788,26.777912799955626,175
2384,-80.10924906749854,26.77799532200747,176
